product_id,product_name,category,abc_class,stock_qty,forecast_30d,daily_forecast,stock_available_days,inventory_risk,risk_reason,priority_level
P0155,土豆1号,农产品,A,29,216.0,7.2,4.0,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0183,冷冻水饺2号,冷链食品,A,185,195.3,6.51,28.4,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0017,玉米糁3号,生鲜粮油,A,169,186.3,6.21,27.2,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0011,玉米糁2号,生鲜粮油,A,40,182.7,6.09,6.6,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0019,东北大米4号,生鲜粮油,A,443,178.2,5.94,74.6,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0006,杂粮包1号,生鲜粮油,A,296,177.3,5.91,50.1,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0030,杂粮包5号,生鲜粮油,A,316,168.9,5.63,56.1,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0169,苹果3号,农产品,A,463,166.8,5.56,83.3,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0198,速冻馄饨4号,冷链食品,A,400,165.3,5.51,72.6,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0196,冷鲜鸡腿4号,冷链食品,A,199,164.4,5.48,36.3,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0042,果汁2号,零食饮料,A,434,160.8,5.36,81.0,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0020,花生油4号,生鲜粮油,A,180,159.9,5.33,33.8,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0010,小麦面粉2号,生鲜粮油,A,34,143.7,4.79,7.1,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0023,玉米糁4号,生鲜粮油,A,227,126.3,4.21,53.9,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0003,鸡蛋1号,生鲜粮油,A,53,118.5,3.95,13.4,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0005,玉米糁1号,生鲜粮油,A,372,117.0,3.9,95.4,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0199,冰鲜牛肉4号,冷链食品,A,318,116.1,3.87,82.2,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0033,鸡蛋6号,生鲜粮油,A,28,114.9,3.83,7.3,缺货风险,A类或重点商品库存覆盖天数偏低,高
P0153,鲜玉米1号,农产品,A,428,114.9,3.83,111.7,库存正常,销量与库存基本匹配,中
P0173,土豆4号,农产品,A,264,111.3,3.71,71.2,库存正常,销量与库存基本匹配,中
P0197,酸奶4号,冷链食品,A,372,108.0,3.6,103.3,库存正常,销量与库存基本匹配,中
P0027,鸡蛋5号,生鲜粮油,A,205,99.9,3.33,61.6,库存正常,销量与库存基本匹配,中
P0015,鸡蛋3号,生鲜粮油,A,301,99.9,3.33,90.4,库存正常,销量与库存基本匹配,中
P0026,花生油5号,生鲜粮油,A,328,96.6,3.22,101.9,库存正常,销量与库存基本匹配,中
P0157,苹果1号,农产品,A,331,96.6,3.22,102.8,库存正常,销量与库存基本匹配,中
P0200,冷冻汤圆4号,冷链食品,A,505,93.0,3.1,162.9,库存正常,销量与库存基本匹配,中
P0188,冷冻汤圆2号,冷链食品,A,415,90.9,3.03,137.0,库存正常,销量与库存基本匹配,中
P0191,酸奶3号,冷链食品,A,390,81.3,2.71,143.9,库存正常,销量与库存基本匹配,中
P0002,花生油1号,生鲜粮油,A,405,79.5,2.65,152.8,库存正常,销量与库存基本匹配,中
P0024,杂粮包4号,生鲜粮油,A,119,78.3,2.61,45.6,库存正常,销量与库存基本匹配,中
P0187,冰鲜牛肉2号,冷链食品,A,80,77.1,2.57,31.1,库存正常,销量与库存基本匹配,中
P0186,速冻馄饨2号,冷链食品,A,224,63.0,2.1,106.7,库存正常,销量与库存基本匹配,中
P0028,小麦面粉5号,生鲜粮油,B,239,200.7,6.69,35.7,库存正常,销量与库存基本匹配,中
P0009,鸡蛋2号,生鲜粮油,B,359,163.5,5.45,65.9,库存正常,销量与库存基本匹配,中
P0156,西红柿1号,农产品,B,293,147.0,4.9,59.8,库存正常,销量与库存基本匹配,中
P0164,蘑菇2号,农产品,B,190,132.3,4.41,43.1,库存正常,销量与库存基本匹配,中
P0029,玉米糁5号,生鲜粮油,B,269,110.1,3.67,73.3,库存正常,销量与库存基本匹配,中
P0193,冰鲜牛肉3号,冷链食品,B,432,106.2,3.54,122.0,库存正常,销量与库存基本匹配,中
P0159,鲜玉米2号,农产品,B,285,103.2,3.44,82.8,库存正常,销量与库存基本匹配,中
P0179,酸奶1号,冷链食品,B,458,102.3,3.41,134.3,库存正常,销量与库存基本匹配,中
P0168,西红柿3号,农产品,B,42,95.4,3.18,13.2,库存正常,销量与库存基本匹配,中
P0012,杂粮包2号,生鲜粮油,B,261,86.7,2.89,90.3,库存正常,销量与库存基本匹配,中
P0167,土豆3号,农产品,B,284,86.4,2.88,98.6,库存正常,销量与库存基本匹配,中
P0008,花生油2号,生鲜粮油,B,298,82.8,2.76,108.0,库存正常,销量与库存基本匹配,中
P0162,西红柿2号,农产品,B,39,75.0,2.5,15.6,库存正常,销量与库存基本匹配,中
P0175,苹果4号,农产品,B,315,74.1,2.47,127.5,库存正常,销量与库存基本匹配,中
P0022,小麦面粉4号,生鲜粮油,B,187,72.0,2.4,77.9,库存正常,销量与库存基本匹配,中
P0176,蘑菇4号,农产品,B,287,72.0,2.4,119.6,库存正常,销量与库存基本匹配,中
P0036,果汁1号,零食饮料,B,163,67.2,2.24,72.8,库存正常,销量与库存基本匹配,中
P0182,冷冻汤圆1号,冷链食品,B,298,67.2,2.24,133.0,库存正常,销量与库存基本匹配,中
P0160,红薯2号,农产品,B,137,65.1,2.17,63.1,库存正常,销量与库存基本匹配,中
P0056,坚果4号,零食饮料,B,326,65.1,2.17,150.2,库存正常,销量与库存基本匹配,中
P0018,杂粮包3号,生鲜粮油,B,149,61.5,2.05,72.7,库存正常,销量与库存基本匹配,中
P0195,冷冻水饺4号,冷链食品,B,169,61.5,2.05,82.4,库存正常,销量与库存基本匹配,中
P0166,红薯3号,农产品,B,399,61.2,2.04,195.6,库存正常,销量与库存基本匹配,中
