product_id,product_name,category,sales_90d,sales_amount_90d,out_freq_90d,stock_qty,stock_amount,cum_rate,abc_class,priority_reason
P0198,速冻馄饨4号,冷链食品,399.0,52795.68,105.0,400,43456.0,0.022,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0196,冷鲜鸡腿4号,冷链食品,397.0,51554.42,110.0,199,20290.04,0.044,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0183,冷冻水饺2号,冷链食品,472.0,45132.64,143.0,185,12846.4,0.066,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0017,玉米糁3号,生鲜粮油,450.0,34960.5,133.0,169,11123.58,0.088,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0006,杂粮包1号,生鲜粮油,429.0,34757.58,127.0,296,18491.12,0.11,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0199,冰鲜牛肉4号,冷链食品,280.0,34442.8,79.0,318,31898.58,0.132,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0030,杂粮包5号,生鲜粮油,407.0,34069.97,117.0,316,21127.76,0.154,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0011,玉米糁2号,生鲜粮油,441.0,32457.6,127.0,40,2431.2,0.176,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0023,玉米糁4号,生鲜粮油,305.0,26474.0,85.0,227,14832.18,0.198,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0010,小麦面粉2号,生鲜粮油,348.0,26427.12,99.0,34,2018.92,0.22,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0020,花生油4号,生鲜粮油,386.0,25738.48,118.0,180,9786.6,0.242,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0155,土豆1号,农产品,522.0,21824.82,149.0,29,980.2,0.264,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0005,玉米糁1号,生鲜粮油,282.0,21296.64,85.0,372,22238.16,0.286,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0187,冰鲜牛肉2号,冷链食品,187.0,21000.1,56.0,80,6978.4,0.308,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0186,速冻馄饨2号,冷链食品,152.0,20658.32,45.0,224,24140.48,0.33,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0169,苹果3号,农产品,403.0,19964.62,108.0,463,20159.02,0.352,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0002,花生油1号,生鲜粮油,193.0,17590.0,53.0,405,27548.1,0.374,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0019,东北大米4号,生鲜粮油,430.0,17260.2,117.0,443,13622.25,0.396,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0015,鸡蛋3号,生鲜粮油,241.0,16932.66,65.0,301,16732.59,0.418,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0197,酸奶4号,冷链食品,260.0,16031.6,70.0,372,19243.56,0.44,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0027,鸡蛋5号,生鲜粮油,241.0,16009.63,72.0,205,11160.2,0.462,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0200,冷冻汤圆4号,冷链食品,225.0,15979.5,77.0,505,29355.65,0.484,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0042,果汁2号,零食饮料,388.0,15795.48,98.0,434,13167.56,0.506,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0191,酸奶3号,冷链食品,196.0,15119.44,57.0,390,22304.1,0.528,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0153,鲜玉米1号,农产品,277.0,14440.01,85.0,428,18391.16,0.55,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0173,土豆4号,农产品,269.0,14383.43,77.0,264,11014.08,0.572,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0188,冷冻汤圆2号,冷链食品,220.0,13589.4,65.0,415,19247.7,0.594,A,A类重点商品或存在缺货风险，配送侧需优先保障
P0024,杂粮包4号,生鲜粮油,189.0,13498.38,53.0,119,6625.92,0.616,A,A类重点商品或存在缺货风险，配送侧需优先保障
