delivery_id,order_id,product_id,product_name,abc_class,category,outlet_id,actual_hours_calc,is_timeout,exception_type,exception_reason,priority_level,suggest_action
D007909,ORD007556,P0024,杂粮包4号,A,生鲜粮油,O041,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005983,ORD000886,P0017,玉米糁3号,A,生鲜粮油,O032,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D005443,ORD005484,P0010,小麦面粉2号,A,生鲜粮油,O034,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003927,ORD003319,P0183,冷冻水饺2号,A,冷链食品,O037,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D004614,ORD000772,P0188,冷冻汤圆2号,A,冷链食品,O025,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D002290,ORD007944,P0020,花生油4号,A,生鲜粮油,O036,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006308,ORD003921,P0200,冷冻汤圆4号,A,冷链食品,O038,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D007440,ORD004870,P0020,花生油4号,A,生鲜粮油,O059,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006696,ORD007933,P0198,速冻馄饨4号,A,冷链食品,O037,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D006516,ORD000967,P0153,鲜玉米1号,A,农产品,O047,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D001758,ORD000255,P0183,冷冻水饺2号,A,冷链食品,O024,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D003581,ORD005944,P0186,速冻馄饨2号,A,冷链食品,O023,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
D001110,ORD007613,P0006,杂粮包1号,A,生鲜粮油,O041,68.0,1,A类重点商品超时订单,A类或高优先级商品配送超过36小时,高,优先调度车辆，必要时纳入低空应急配送
