order_id,product_id,product_name,abc_class,category,outlet_id,launch_point_id,route_id,route_type,estimated_distance_km,estimated_time_min,risk_level,reward_score,assigned_reason
ORD007933,P0198,速冻馄饨4号,A,冷链食品,O037,LP003,R-R-001,备用返航航线,3.36,10,低,88.8,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD003319,P0183,冷冻水饺2号,A,冷链食品,O037,LP003,R-R-002,备用返航航线,3.36,10,低,88.8,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD003028,P0155,土豆1号,A,农产品,O037,LP003,R-R-003,备用返航航线,3.36,10,低,88.4,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD002394,P0153,鲜玉米1号,A,农产品,O037,LP003,R-R-004,备用返航航线,3.36,10,低,88.4,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD006589,P0005,玉米糁1号,A,生鲜粮油,O037,LP003,R-R-005,备用返航航线,3.36,10,低,88.8,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD004154,P0196,冷鲜鸡腿4号,A,冷链食品,O037,LP003,R-R-006,备用返航航线,3.36,10,低,88.8,备用返航航线综合奖励最高，适合普通配送超时订单的低空应急配送
ORD002353,P0183,冷冻水饺2号,A,冷链食品,O035,LP003,R-R-007,备用返航航线,12.44,28,中,66.2,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD007613,P0006,杂粮包1号,A,生鲜粮油,O041,LP003,R-R-008,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD007556,P0024,杂粮包4号,A,生鲜粮油,O041,LP003,R-R-009,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD000288,P0155,土豆1号,A,农产品,O035,LP003,R-R-010,备用返航航线,12.44,28,中,65.8,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD007944,P0020,花生油4号,A,生鲜粮油,O036,LP003,R-R-011,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD007532,P0197,酸奶4号,A,冷链食品,O036,LP003,R-R-012,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD004952,P0196,冷鲜鸡腿4号,A,冷链食品,O041,LP003,R-R-013,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD006442,P0019,东北大米4号,A,生鲜粮油,O036,LP003,R-R-014,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD004060,P0005,玉米糁1号,A,生鲜粮油,O041,LP003,R-R-015,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD007299,P0017,玉米糁3号,A,生鲜粮油,O036,LP003,R-R-016,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD005944,P0186,速冻馄饨2号,A,冷链食品,O023,LP001,R-R-017,备用返航航线,7.85,19,中,72.6,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD005046,P0183,冷冻水饺2号,A,冷链食品,O023,LP001,R-R-018,备用返航航线,7.85,19,中,72.6,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD004967,P0198,速冻馄饨4号,A,冷链食品,O041,LP003,R-R-019,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合普通配送超时订单的低空应急配送
ORD006586,P0186,速冻馄饨2号,A,冷链食品,O039,LP003,R-R-020,备用返航航线,4.12,11,低,87.0,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD002674,P0196,冷鲜鸡腿4号,A,冷链食品,O041,LP003,R-R-021,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合普通配送超时订单的低空应急配送
ORD007222,P0020,花生油4号,A,生鲜粮油,O035,LP003,R-R-022,备用返航航线,12.44,28,中,66.2,备用返航航线综合奖励最高，适合普通配送超时订单的低空应急配送
ORD006276,P0030,杂粮包5号,A,生鲜粮油,O036,LP003,R-R-023,备用返航航线,1.3,6,低,94.7,备用返航航线综合奖励最高，适合普通配送超时订单的低空应急配送
ORD007349,P0002,花生油1号,A,生鲜粮油,O039,LP003,R-R-024,备用返航航线,4.12,11,低,87.0,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD000991,P0155,土豆1号,A,农产品,O026,LP001,R-R-025,备用返航航线,5.54,14,低,82.4,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD000886,P0017,玉米糁3号,A,生鲜粮油,O032,LP001,R-R-026,备用返航航线,3.87,11,低,87.4,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD000772,P0188,冷冻汤圆2号,A,冷链食品,O025,LP001,R-R-027,备用返航航线,4.37,12,低,85.9,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
ORD000903,P0198,速冻馄饨4号,A,冷链食品,O026,LP001,R-R-028,备用返航航线,5.54,14,低,82.8,备用返航航线综合奖励最高，适合A类重点商品超时订单的低空应急配送
