knowledge_id,source_type,source_file,knowledge_category,chunk_index,content,keyword_tags
K0001,企业制度文档,仓储管理制度.txt,仓储管理制度,1,仓储管理制度 为保障县域物流企业库存准确、周转高效、责任清晰，中心仓和乡镇前置仓实行统一编码、分区存放和每日盘点制度。商品入库时必须核对商品编号、批次、数量、保,"制度,流程,规范,低空,配送,库存,退货"
K0002,企业制度文档,仓储管理制度.txt,仓储管理制度,2,质期和供应商信息，生鲜粮油、农产品、冷链食品应优先进入温控区，并记录到库时间。出库遵循先进先出原则，对保质期短、周转快的商品设置醒目标识。仓库管理员每日下班前检,"制度,流程,规范,低空,配送,库存,退货"
K0003,企业制度文档,仓储管理制度.txt,仓储管理制度,3,查安全库存、库位利用率和异常库存，对库存数量低于安全库存的A类重点商品，应在系统中发起补货提醒；对周转天数过长的厨具、小家电配件等低频商品，应提交促销、调拨或暂,"制度,流程,规范,低空,配送,库存,退货"
K0004,企业制度文档,仓储管理制度.txt,仓储管理制度,4,停采购建议。盘点差异超过规定阈值时，由仓库负责人组织复核并形成处理记录，作为经营分析和学生演示中的数据治理依据。月度经营会上，仓储数据需与订单、退货、投诉记录交,"制度,流程,规范,低空,配送,库存,退货"
K0005,企业制度文档,仓储管理制度.txt,仓储管理制度,5,叉核验，形成库存风险清单，帮助管理层判断是否需要调整采购节奏、优化库位或开展清仓活动。,"制度,流程,规范,低空,配送,库存,退货"
K0006,企业制度文档,低空应急配送启用条件.txt,低空应急配送启用条件,1,低空应急配送启用条件 低空应急配送主要用于县域物流在特殊场景下提升履约效率，不替代日常车辆配送。系统建议启用低空应急配送时，应同时评估订单价值、商品时效、客户区,"制度,流程,规范,低空,配送,库存,退货"
K0007,企业制度文档,低空应急配送启用条件.txt,低空应急配送启用条件,2,域、天气和起降点条件。符合以下条件时可进入建议清单：订单属于生鲜急件，或包含A类重点商品；目的地为偏远乡镇或道路等级较低区域；车辆配送预计超时，且超时可能导致退,"制度,流程,规范,低空,配送,库存,退货"
K0008,企业制度文档,低空应急配送启用条件.txt,低空应急配送启用条件,3,货、投诉或商品损耗；订单地址位于可用起降点服务半径内；当前天气满足飞行安全要求，起降点具备临时接收和交接能力。对东北片区、西南片区等配送慢区域，可优先纳入试点，,"制度,流程,规范,低空,配送,库存,退货"
K0009,企业制度文档,低空应急配送启用条件.txt,低空应急配送启用条件,4,但必须保留人工审核、飞行记录和客户确认流程。每次启用后应记录订单编号、商品类别、节约时长、异常情况和客户反馈，用于评估低空配送的投入产出效果。,"制度,流程,规范,低空,配送,库存,退货"
K0010,企业制度文档,库存预警处理制度.txt,库存预警处理制度,1,库存预警处理制度 库存预警分为缺货预警、积压预警和保质期预警。系统根据库存数量、安全库存、销量趋势和商品类别进行识别。A类重点商品、销量高的生鲜粮油、农产品和冷,"制度,流程,规范,低空,配送,库存,退货"
